,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout_rate,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,1.7443812489509583,0.2859441064937645,0.15640848875045776,0.024190765982858565,softmax,0.0,SGD,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'SGD'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
1,1.6831353306770325,0.014039355333894549,0.14413082599639893,0.0026435948623245854,softmax,0.0,RMSprop,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'RMSprop'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
2,1.5857714414596558,0.185987682620438,0.14971178770065308,0.0028742785508171715,softmax,0.0,Adagrad,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Adagrad'}",0.7683333158493042,0.2566666603088379,0.7666666507720947,0.7483333349227905,0.6349999904632568,0.2185717506721193,484
3,1.7154968976974487,0.20637294036603268,0.17645859718322754,0.028340232764405535,softmax,0.0,Adadelta,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Adadelta'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
4,1.8099991083145142,0.25340244217297325,0.1548900604248047,0.02070167240700995,softmax,0.0,Adam,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Adam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
5,1.631792664527893,0.15982636829161118,0.14642292261123657,0.00021592724335642288,softmax,0.0,Adamax,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Adamax'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
6,2.0335479974746704,0.05304115191720946,0.1437695026397705,0.0052672135729181484,softmax,0.0,Nadam,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Nadam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
7,1.4579519629478455,0.02003792750524373,0.14557290077209473,0.004972533108315478,softmax,0.1,SGD,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'SGD'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
8,2.2051910758018494,0.1082135148977545,0.18600142002105713,0.0218064043315158,softmax,0.1,RMSprop,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'RMSprop'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
9,1.5016654133796692,0.12826002658647945,0.1434301733970642,0.008719707986060464,softmax,0.1,Adagrad,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Adagrad'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
10,1.3461549282073975,0.0186855914356241,0.13339567184448242,0.005444303494906742,softmax,0.1,Adadelta,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Adadelta'}",0.2316666692495346,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.6224999986588955,0.2258148798125672,502
11,1.5661541223526,0.1537813215210929,0.13439220190048218,0.00202845192768745,softmax,0.1,Adam,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Adam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
12,1.6348721981048584,0.13411488310398256,0.1609293818473816,0.02409819998265412,softmax,0.1,Adamax,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Adamax'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
13,2.4347331523895264,0.3834997281761672,0.1710669994354248,0.01843616362568475,softmax,0.1,Nadam,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Nadam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
14,1.3321296572685242,0.016516907869804972,0.1418333649635315,0.008779621869892123,softmax,0.2,SGD,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'SGD'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
15,1.532511055469513,0.011474137022958538,0.13450837135314941,0.005091262101018395,softmax,0.2,RMSprop,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'RMSprop'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
16,1.4204076528549194,0.1623193878777759,0.1318926215171814,0.0029624956313150067,softmax,0.2,Adagrad,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'Adagrad'}",0.2316666692495346,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.6224999986588955,0.2258148798125672,502
17,1.5234730243682861,0.08536864552655131,0.13721096515655518,0.004313096228189128,softmax,0.2,Adadelta,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'Adadelta'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
18,1.6792972683906555,0.02680301088683962,0.15182065963745117,0.007423850103545991,softmax,0.2,Adam,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'Adam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
19,1.6161930561065674,0.24789996235248857,0.14284950494766235,0.006983105796693649,softmax,0.2,Adamax,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'Adamax'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
20,1.8019856810569763,0.01687946805176905,0.13325965404510498,0.0011186069412844292,softmax,0.2,Nadam,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'Nadam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
21,1.4295290112495422,0.13325748792801442,0.13866323232650757,0.005851523663265502,softmax,0.3,SGD,"{'activation': 'softmax', 'dropout_rate': 0.3, 'optimizer': 'SGD'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
22,1.52800714969635,0.012824992346742028,0.1334804892539978,0.0031819744637393856,softmax,0.3,RMSprop,"{'activation': 'softmax', 'dropout_rate': 0.3, 'optimizer': 'RMSprop'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
23,1.4443522691726685,0.1276618765910504,0.1479419469833374,0.025061205957631054,softmax,0.3,Adagrad,"{'activation': 'softmax', 'dropout_rate': 0.3, 'optimizer': 'Adagrad'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
24,1.7539976239204407,0.2527267451891238,0.25657790899276733,0.16974989458551507,softmax,0.3,Adadelta,"{'activation': 'softmax', 'dropout_rate': 0.3, 'optimizer': 'Adadelta'}",0.7683333158493042,0.7433333396911621,0.23333333432674408,0.2516666650772095,0.49916666373610497,0.25690059391610454,543
25,1.47367924451828,0.03835940078408322,0.1368001103401184,0.0072197502022730235,softmax,0.3,Adam,"{'activation': 'softmax', 'dropout_rate': 0.3, 'optimizer': 'Adam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
26,1.538950800895691,0.025928825316324323,0.14805567264556885,0.0047496628923402485,softmax,0.3,Adamax,"{'activation': 'softmax', 'dropout_rate': 0.3, 'optimizer': 'Adamax'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
27,2.09854519367218,0.16823519678385598,0.14805692434310913,0.0025259895742559195,softmax,0.3,Nadam,"{'activation': 'softmax', 'dropout_rate': 0.3, 'optimizer': 'Nadam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
28,1.4733904600143433,0.008414869744918367,0.1494961977005005,0.00343089692868902,softmax,0.4,SGD,"{'activation': 'softmax', 'dropout_rate': 0.4, 'optimizer': 'SGD'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
29,1.7742612957954407,0.15730409643589371,0.1463521122932434,0.0022253500021272195,softmax,0.4,RMSprop,"{'activation': 'softmax', 'dropout_rate': 0.4, 'optimizer': 'RMSprop'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
30,1.4983937740325928,0.01197761422144439,0.15304386615753174,0.006725197733053703,softmax,0.4,Adagrad,"{'activation': 'softmax', 'dropout_rate': 0.4, 'optimizer': 'Adagrad'}",0.2316666692495346,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.6224999986588955,0.2258148798125672,502
31,1.5919156670570374,0.08395586207390925,0.16234266757965088,0.01714805232350353,softmax,0.4,Adadelta,"{'activation': 'softmax', 'dropout_rate': 0.4, 'optimizer': 'Adadelta'}",0.7683333158493042,0.7433333396911621,0.23333333432674408,0.2516666650772095,0.49916666373610497,0.25690059391610454,543
32,2.024168372154236,0.24818176264294176,0.16733425855636597,0.02423926110983519,softmax,0.4,Adam,"{'activation': 'softmax', 'dropout_rate': 0.4, 'optimizer': 'Adam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
33,1.5684526562690735,0.013228689433253806,0.15208464860916138,0.004209433080489875,softmax,0.4,Adamax,"{'activation': 'softmax', 'dropout_rate': 0.4, 'optimizer': 'Adamax'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
34,2.3176697492599487,0.3130485531465448,0.2642354965209961,0.17540942167776377,softmax,0.4,Nadam,"{'activation': 'softmax', 'dropout_rate': 0.4, 'optimizer': 'Nadam'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
35,1.6052364706993103,0.2404643921936842,0.15233051776885986,0.003751170140063326,softmax,0.5,SGD,"{'activation': 'softmax', 'dropout_rate': 0.5, 'optimizer': 'SGD'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
36,1.7202390432357788,0.014793985867913795,0.1503368616104126,0.002874992758402517,softmax,0.5,RMSprop,"{'activation': 'softmax', 'dropout_rate': 0.5, 'optimizer': 'RMSprop'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
